id,query,category,topic,difficulty,requires_graph,requires_normative_hierarchy,mode,recall_at_5,recall_at_10,precision_at_5,precision_at_10,mrr,hit_rate_at_5,hit_rate_at_10,required_citation_coverage,forbidden_citation_violation,forbidden_citation_labels,citation_order_violation,citation_order_labels,first_required_rank,average_rank_of_first_required_citation,document_count,graph_expanded_chunks,graph_hit_ratio,direct_vector_hit_ratio,average_graph_depth,top1_citation,top3_citations,top10_citations,top10_chunk_ids
def_employee,Nguoi lao dong duoc dinh nghia nhu the nao theo Bo luat Lao dong 2019?,definition_qa,khai niem nguoi lao dong,easy,False,False,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1","Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3","Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 4 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 5 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 6 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 7 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 8 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 9 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 1, các điểm a, b, c, d",45_2019_QH14_Dieu_154_Khoan_1 || 45_2019_QH14_Dieu_154_Khoan_2 || 45_2019_QH14_Dieu_154_Khoan_3 || 45_2019_QH14_Dieu_154_Khoan_4 || 45_2019_QH14_Dieu_154_Khoan_5 || 45_2019_QH14_Dieu_154_Khoan_6 || 45_2019_QH14_Dieu_154_Khoan_7 || 45_2019_QH14_Dieu_154_Khoan_8 || 45_2019_QH14_Dieu_154_Khoan_9 || 45_2019_QH14_Dieu_151_Khoan_1_Diem_a_b_c_d
def_employer,Nguoi su dung lao dong la gi theo Bo luat Lao dong?,definition_qa,khai niem nguoi su dung lao dong,easy,False,False,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 1","Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 1 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 3 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 2","Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 1 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 3 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 1 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 3 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 8 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3",45_2019_QH14_Dieu_152_Khoan_1 || 45_2019_QH14_Dieu_152_Khoan_3 || 45_2019_QH14_Dieu_152_Khoan_2 || 45_2019_QH14_Dieu_150_Khoan_1 || 45_2019_QH14_Dieu_150_Khoan_2 || 45_2019_QH14_Dieu_150_Khoan_3 || 45_2019_QH14_Dieu_154_Khoan_1 || 45_2019_QH14_Dieu_154_Khoan_8 || 45_2019_QH14_Dieu_154_Khoan_2 || 45_2019_QH14_Dieu_154_Khoan_3
def_employee_representative_org,To chuc dai dien nguoi lao dong tai co so la gi?,definition_qa,khai niem to chuc dai dien nguoi lao dong,easy,False,False,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1","Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3","Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 4 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 5 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 6 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 7 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 8 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 9 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 1, các điểm a, b, c, d",45_2019_QH14_Dieu_154_Khoan_1 || 45_2019_QH14_Dieu_154_Khoan_2 || 45_2019_QH14_Dieu_154_Khoan_3 || 45_2019_QH14_Dieu_154_Khoan_4 || 45_2019_QH14_Dieu_154_Khoan_5 || 45_2019_QH14_Dieu_154_Khoan_6 || 45_2019_QH14_Dieu_154_Khoan_7 || 45_2019_QH14_Dieu_154_Khoan_8 || 45_2019_QH14_Dieu_154_Khoan_9 || 45_2019_QH14_Dieu_151_Khoan_1_Diem_a_b_c_d
def_labor_relationship,Quan he lao dong duoc hieu nhu the nao?,definition_qa,khai niem quan he lao dong,easy,False,False,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1","Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3","Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 4 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 5 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 6 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 7 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 8 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 9 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2",45_2019_QH14_Dieu_154_Khoan_1 || 45_2019_QH14_Dieu_154_Khoan_2 || 45_2019_QH14_Dieu_154_Khoan_3 || 45_2019_QH14_Dieu_154_Khoan_4 || 45_2019_QH14_Dieu_154_Khoan_5 || 45_2019_QH14_Dieu_154_Khoan_6 || 45_2019_QH14_Dieu_154_Khoan_7 || 45_2019_QH14_Dieu_154_Khoan_8 || 45_2019_QH14_Dieu_154_Khoan_9 || 45_2019_QH14_Dieu_151_Khoan_2
contract_definition,Hop dong lao dong la gi?,definition_qa,khai niem hop dong lao dong,easy,False,False,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,2,0,0.0,1.0,0.0,"Nghị định 145/2020/NĐ-CP, Điều 18 (Rút tiền ký quỹ), khoản 1, điểm đ","Nghị định 145/2020/NĐ-CP, Điều 18 (Rút tiền ký quỹ), khoản 1, điểm đ || Nghị định 145/2020/NĐ-CP, Điều 18 (Rút tiền ký quỹ), khoản 1, các điểm a, b, c, d || Nghị định 145/2020/NĐ-CP, Điều 18 (Rút tiền ký quỹ), khoản 2, các điểm a, b, c, d","Nghị định 145/2020/NĐ-CP, Điều 18 (Rút tiền ký quỹ), khoản 1, điểm đ || Nghị định 145/2020/NĐ-CP, Điều 18 (Rút tiền ký quỹ), khoản 1, các điểm a, b, c, d || Nghị định 145/2020/NĐ-CP, Điều 18 (Rút tiền ký quỹ), khoản 2, các điểm a, b, c, d || Nghị định 145/2020/NĐ-CP, Điều 18 (Rút tiền ký quỹ), khoản 3, các điểm a, b, c || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 3 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 2 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 1 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 3",ND145_2020_Dieu_18_Khoan_1_Diem_dd || ND145_2020_Dieu_18_Khoan_1_Diem_a_b_c_d || ND145_2020_Dieu_18_Khoan_2_Diem_a_b_c_d || ND145_2020_Dieu_18_Khoan_3_Diem_a_b_c || 45_2019_QH14_Dieu_151_Khoan_2 || 45_2019_QH14_Dieu_151_Khoan_1_Diem_a_b_c_d || 45_2019_QH14_Dieu_151_Khoan_3 || 45_2019_QH14_Dieu_156_Khoan_2 || 45_2019_QH14_Dieu_156_Khoan_1 || 45_2019_QH14_Dieu_156_Khoan_3
contract_form,Hop dong lao dong co bat buoc phai lap bang van ban khong?,direct_qa,hinh thuc hop dong lao dong,medium,False,False,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2","Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 2 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 1","Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 2 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 1 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 3 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 3 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 1 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 3 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 1, các điểm a, b, c, d",45_2019_QH14_Dieu_151_Khoan_2 || 45_2019_QH14_Dieu_156_Khoan_2 || 45_2019_QH14_Dieu_150_Khoan_1 || 45_2019_QH14_Dieu_150_Khoan_2 || 45_2019_QH14_Dieu_150_Khoan_3 || 45_2019_QH14_Dieu_156_Khoan_3 || 45_2019_QH14_Dieu_152_Khoan_1 || 45_2019_QH14_Dieu_152_Khoan_2 || 45_2019_QH14_Dieu_152_Khoan_3 || 45_2019_QH14_Dieu_151_Khoan_1_Diem_a_b_c_d
contract_types,Co may loai hop dong lao dong theo Bo luat Lao dong 2019?,direct_qa,loai hop dong lao dong,easy,False,False,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 5","Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 5 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 2","Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 5 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 2 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 3 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 4 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 5 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 6",45_2019_QH14_Dieu_21_Khoan_5 || 45_2019_QH14_Dieu_151_Khoan_2 || 45_2019_QH14_Dieu_156_Khoan_2 || 45_2019_QH14_Dieu_156_Khoan_3 || 45_2019_QH14_Dieu_154_Khoan_1 || 45_2019_QH14_Dieu_154_Khoan_2 || 45_2019_QH14_Dieu_154_Khoan_3 || 45_2019_QH14_Dieu_154_Khoan_4 || 45_2019_QH14_Dieu_154_Khoan_5 || 45_2019_QH14_Dieu_154_Khoan_6
contract_fixed_vs_indefinite,So sanh hop dong xac dinh thoi han va khong xac dinh thoi han.,comparison_qa,loai hop dong lao dong,medium,False,False,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,2,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2","Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 3 || Nghị định 145/2020/NĐ-CP, Mẫu số 02/PLI","Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 3 || Nghị định 145/2020/NĐ-CP, Mẫu số 02/PLI || Nghị định 145/2020/NĐ-CP, Mẫu số 12/PLIN || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 1 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 150 (Người lao động Việt Nam đi làm việc ở nước ngoài, lao động cho các tổ chức, cá nhân nước ngoài tại Việt Nam), khoản 3 || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 1 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 2",45_2019_QH14_Dieu_151_Khoan_2 || 45_2019_QH14_Dieu_151_Khoan_3 || ND145_2020_Phu_Luc_I_Mau_02_PLI_Phan_01 || ND145_2020_Phu_Luc_I_Mau_12_PLI_Phan_01 || 45_2019_QH14_Dieu_150_Khoan_1 || 45_2019_QH14_Dieu_150_Khoan_2 || 45_2019_QH14_Dieu_150_Khoan_3 || 45_2019_QH14_Dieu_151_Khoan_1_Diem_a_b_c_d || 45_2019_QH14_Dieu_152_Khoan_1 || 45_2019_QH14_Dieu_152_Khoan_2
contract_content,Hop dong lao dong can co nhung noi dung chu yeu nao?,direct_qa,noi dung hop dong lao dong,medium,True,True,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2","Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1","Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 1 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 2 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 3 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 4 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 5 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 6 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 7 || Bộ luật Lao động 2019, Điều 154 (Người lao động nước ngoài làm việc tại Việt Nam không thuộc diện cấp giấy phép lao động), khoản 8",45_2019_QH14_Dieu_151_Khoan_2 || 45_2019_QH14_Dieu_156_Khoan_2 || 45_2019_QH14_Dieu_154_Khoan_1 || 45_2019_QH14_Dieu_154_Khoan_2 || 45_2019_QH14_Dieu_154_Khoan_3 || 45_2019_QH14_Dieu_154_Khoan_4 || 45_2019_QH14_Dieu_154_Khoan_5 || 45_2019_QH14_Dieu_154_Khoan_6 || 45_2019_QH14_Dieu_154_Khoan_7 || 45_2019_QH14_Dieu_154_Khoan_8
contract_content_guidance,Noi dung hop dong lao dong duoc Thong tu 10 huong dan chi tiet nhu the nao?,document_guidance_qa,noi dung hop dong lao dong,hard,True,True,vector_only,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,,False,,0,0.0,3,0,0.0,1.0,0.0,"Nghị định 145/2020/NĐ-CP, Mẫu số 12/PLIN","Nghị định 145/2020/NĐ-CP, Mẫu số 12/PLIN || Nghị định 145/2020/NĐ-CP, Mẫu số 02/PLI || Thông tư 09/2020/TT-BLĐTBXH, Phụ lục I","Nghị định 145/2020/NĐ-CP, Mẫu số 12/PLIN || Nghị định 145/2020/NĐ-CP, Mẫu số 02/PLI || Thông tư 09/2020/TT-BLĐTBXH, Phụ lục I || Nghị định 145/2020/NĐ-CP, Mẫu số 05/PLIH || Bộ luật Lao động 2019, Điều 151 (Điều kiện người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Nghị định 145/2020/NĐ-CP, Mẫu số 01/PLV || Bộ luật Lao động 2019, Điều 156 (Các trường hợp giấy phép lao động hết hiệu lực), khoản 2 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 1 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 2 || Bộ luật Lao động 2019, Điều 152 (Điều kiện tuyển dụng, sử dụng người lao động nước ngoài làm việc tại Việt Nam), khoản 3",ND145_2020_Phu_Luc_I_Mau_12_PLI_Phan_01 || ND145_2020_Phu_Luc_I_Mau_02_PLI_Phan_01 || TT09_2020_Phu_Luc_I_Nhom_06 || ND145_2020_Phu_Luc_I_Mau_05_PLI_Phan_01 || 45_2019_QH14_Dieu_151_Khoan_2 || ND145_2020_Phu_Luc_V_Mau_01_PLV_Phan_02 || 45_2019_QH14_Dieu_156_Khoan_2 || 45_2019_QH14_Dieu_152_Khoan_1 || 45_2019_QH14_Dieu_152_Khoan_2 || 45_2019_QH14_Dieu_152_Khoan_3
