id,category,query,end_to_end_passed,retrieval_passed,answer_passed,citation_grounding_passed,answer_faithfulness_passed,final_quality_score,answer_completeness_score,required_citation_coverage,required_citations_found,missing_required_citations,forbidden_citation_violations,retrieval_source_distribution,graph_expansion_used,graph_depth,graph_edge_types,citation_validation_passed,quality_validation_passed,unsupported_article_numbers,unretrieved_citations,low_information_quotes_count,legal_claim_citation_coverage,no_article_title_only_answer,insufficient_context_handled,failure_reasons,top3_citations
strict_minor_worker_14,direct_qa,Người 14 tuổi có được làm việc không?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 143 || BLLĐ Điều 145 || BLLĐ Điều 146 || TT09 hướng dẫn lao động chưa thành niên,,,"{""hybrid"": 8, ""vector"": 1}",True,4,{},True,True,,,0,True,True,True,,"Thông tư 09/2020/TT-BLĐTBXH, Điều 3 (Điều kiện sử dụng người chưa đủ 15 tuổi làm việc) || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 1 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 1, các điểm a, b, c, d"
strict_minor_worker_under_15_conditions,procedure_qa,Người chưa đủ 15 tuổi làm việc cần điều kiện gì?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 145 || BLLĐ Điều 146 || TT09 Điều 3,,,"{""hybrid"": 8, ""vector"": 1}",True,4,{},True,True,,,0,True,True,True,,"Thông tư 09/2020/TT-BLĐTBXH, Điều 3 (Điều kiện sử dụng người chưa đủ 15 tuổi làm việc) || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 1 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 1, các điểm a, b, c, d"
strict_retirement_age_2026_woman,scenario_based_qa,Nữ nghỉ hưu năm 2026 thì bao nhiêu tuổi?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 169 || NĐ135 Điều 4 || NĐ135 bảng tuổi nghỉ hưu,,,"{""hybrid"": 5, ""vector"": 3}",True,4,"{""SOURCE_OF"": 2, ""DETAILS"": 2, ""HAS_SOURCE_CHUNK"": 2}",True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 169 (Tuổi nghỉ hưu), khoản 2 || Bộ luật Lao động 2019, Điều 169 (Tuổi nghỉ hưu), khoản 1 || Nghị định 135/2020/NĐ-CP, Điều 4 (Tuổi nghỉ hưu trong điều kiện lao động bình thường)"
strict_labor_contract_content,direct_qa,Hợp đồng lao động cần có những nội dung gì?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 21 || TT10 Điều 3,,,"{""graph"": 5, ""hybrid"": 1}",True,4,"{""SOURCE_OF"": 1, ""DETAILS"": 1, ""HAS_SOURCE_CHUNK"": 1}",True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 1, các điểm a, b, c, d, đ, e, g, h, i, k || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động) || Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 2"
strict_dismissal_dispute_mediation_before_lawsuit,procedure_qa,Tranh chấp sa thải có cần hòa giải trước khi kiện không?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 188 || BLTTDS Điều 32 || BLLĐ Điều 190,,,"{""graph"": 1, ""hybrid"": 6}",True,4,{},True,True,,,0,True,True,True,,"Bộ luật Tố tụng dân sự 2015 - phần liên quan lao động, Điều 32 (Những tranh chấp về lao động thuộc thẩm quyền giải quyết của) || Bộ luật Lao động 2019, Điều 188 (Trình tự, thủ tục hòa giải tranh chấp lao động cá nhân của hòa giải viên lao động), khoản 1, các điểm a, b, c, d, đ, e || Bộ luật Lao động 2019, Điều 188 (Trình tự, thủ tục hòa giải tranh chấp lao động cá nhân của hòa giải viên lao động), khoản 2"
strict_employee_unlawful_unilateral_termination,scenario_based_qa,Người lao động đơn phương chấm dứt hợp đồng trái luật thì phải bồi thường gì?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 40 trong top 3 || BLLĐ Điều 39 trong top 5,,,"{""hybrid"": 9, ""graph"": 1}",True,4,"{""SOURCE_OF"": 1, ""DETAILS"": 1, ""HAS_SOURCE_CHUNK"": 1}",True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 2 || Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 1 || Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 3"
strict_structural_change_job_loss_allowance,scenario_based_qa,Công ty thay đổi cơ cấu thì phải trả trợ cấp gì?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 42 || BLLĐ Điều 47 || NĐ145 Điều 8,,,"{""hybrid"": 6, ""vector"": 4}",True,4,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 1 || Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 3 || Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 2"
strict_no_notice_resignation,exception_based_qa,Khi nào người lao động được nghỉ việc không cần báo trước?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 35 khoản 2 trong top 3,,,"{""hybrid"": 5, ""vector"": 3, ""graph"": 2}",True,4,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 2, các điểm a, b, c, d, đ, e, g || Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d || Nghị định 145/2020/NĐ-CP, Điều 7 (Thời hạn báo trước khi đơn phương chấm dứt hợp đồng lao động đối với một số ngành, nghề, công việc đặc thù)"
extra_employee_definition,direct_qa,Người lao động được định nghĩa như thế nào theo Bộ luật Lao động 2019?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 3 khoản 1,,,"{""hybrid"": 1, ""vector"": 1}",True,4,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 1 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ)"
extra_contract_type_comparison,comparison_qa,So sánh hợp đồng lao động xác định thời hạn và không xác định thời hạn?,True,True,True,True,True,100.0,1.0,1.0,BLLĐ Điều 20,,,"{""vector"": 7, ""graph"": 3}",True,4,"{""SOURCE_OF"": 1, ""DETAILS"": 1, ""HAS_SOURCE_CHUNK"": 1}",True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b || Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 1, các điểm a, b, c, d, đ, e, g, h, i, k || Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 2"
