mode,id,query,category,topic,recall_at_10,required_citation_coverage,forbidden_citation_violation,retrieval_passed,missing_required_citations,forbidden_citation_violations,top10_citations,top10_chunk_ids
hybrid_only,def_employee,Nguoi lao dong duoc dinh nghia nhu the nao theo Bo luat Lao dong 2019?,definition_qa,khai niem nguoi lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 1 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ)",45_2019_QH14_Dieu_3_Khoan_1 || 45_2019_QH14_Dieu_3_Intro
hybrid_only,def_employer,Nguoi su dung lao dong la gi theo Bo luat Lao dong?,definition_qa,khai niem nguoi su dung lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 2 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ)",45_2019_QH14_Dieu_3_Khoan_2 || 45_2019_QH14_Dieu_3_Intro
hybrid_only,def_employee_representative_org,To chuc dai dien nguoi lao dong tai co so la gi?,definition_qa,khai niem to chuc dai dien nguoi lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 3 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ) || Nghị định 135/2020/NĐ-CP, Điều 8 (Hiệu lực thi hành), khoản 2, các điểm a, b, c || Thông tư 09/2020/TT-BLĐTBXH, Điều 3 (Điều kiện sử dụng người chưa đủ 15 tuổi làm việc) || Thông tư 09/2020/TT-BLĐTBXH, Điều 3 (Điều kiện sử dụng người chưa đủ 15 tuổi làm việc), khoản 1 || Thông tư 09/2020/TT-BLĐTBXH, Điều 3 (Điều kiện sử dụng người chưa đủ 15 tuổi làm việc), khoản 2 || Thông tư 09/2020/TT-BLĐTBXH, Điều 3 (Điều kiện sử dụng người chưa đủ 15 tuổi làm việc), khoản 3 || Nghị định 145/2020/NĐ-CP, Mẫu số 02/PLI",45_2019_QH14_Dieu_3_Khoan_3 || 45_2019_QH14_Dieu_3_Intro || ND135_2020_Dieu_8_Khoan_2_Diem_a_b_c || TT09_2020_Dieu_3_Intro || TT09_2020_Dieu_3_Khoan_1 || TT09_2020_Dieu_3_Khoan_2 || TT09_2020_Dieu_3_Khoan_3 || ND145_2020_Phu_Luc_I_Mau_02_PLI_Phan_01
hybrid_only,def_labor_relationship,Quan he lao dong duoc hieu nhu the nao?,definition_qa,khai niem quan he lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 5 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ) || Nghị định 135/2020/NĐ-CP, Điều 8 (Hiệu lực thi hành), khoản 2, các điểm a, b, c || Thông tư 09/2020/TT-BLĐTBXH, Điều 3 (Điều kiện sử dụng người chưa đủ 15 tuổi làm việc) || Nghị định 145/2020/NĐ-CP, Mẫu số 02/PLI || Nghị định 145/2020/NĐ-CP, Mẫu số 12/PLIN || Thông tư 10/2020/TT-BLĐTBXH, Điều 8 (Nhiệm vụ của Hội đồng thương lượng tập thể), khoản 5",45_2019_QH14_Dieu_3_Khoan_5 || 45_2019_QH14_Dieu_3_Intro || ND135_2020_Dieu_8_Khoan_2_Diem_a_b_c || TT09_2020_Dieu_3_Intro || ND145_2020_Phu_Luc_I_Mau_02_PLI_Phan_01 || ND145_2020_Phu_Luc_I_Mau_12_PLI_Phan_01 || TT10_2020_Dieu_8_Khoan_5
hybrid_only,contract_definition,Hop dong lao dong la gi?,definition_qa,khai niem hop dong lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 13 (Hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 13 (Hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 1 || Nghị định 145/2020/NĐ-CP, Điều 17 (Quản lý tiền ký quỹ), khoản 2 || Nghị định 145/2020/NĐ-CP, Điều 17 (Quản lý tiền ký quỹ), khoản 1 || Nghị định 145/2020/NĐ-CP, Điều 17 (Quản lý tiền ký quỹ), khoản 3 || Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 2",45_2019_QH14_Dieu_13_Khoan_1 || 45_2019_QH14_Dieu_13_Khoan_2 || 45_2019_QH14_Dieu_22_Khoan_1 || ND145_2020_Dieu_17_Khoan_2 || ND145_2020_Dieu_17_Khoan_1 || ND145_2020_Dieu_17_Khoan_3 || 45_2019_QH14_Dieu_14_Khoan_2 || 45_2019_QH14_Dieu_14_Khoan_1 || 45_2019_QH14_Dieu_17_Khoan_1 || 45_2019_QH14_Dieu_22_Khoan_2
hybrid_only,contract_form,Hop dong lao dong co bat buoc phai lap bang van ban khong?,direct_qa,hinh thuc hop dong lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 2 || Nghị định 145/2020/NĐ-CP, Điều 17 (Quản lý tiền ký quỹ), khoản 2 || Nghị định 145/2020/NĐ-CP, Mẫu số 12/PLIN || Nghị định 145/2020/NĐ-CP, Điều 20 (Nộp bỗ sung tiền ký quỹ), khoản 1 || Bộ luật Lao động 2019, Điều 13 (Hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 1 || Nghị định 145/2020/NĐ-CP, Mẫu số 02/PLI || Bộ luật Lao động 2019, Điều 13 (Hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b",45_2019_QH14_Dieu_14_Khoan_1 || 45_2019_QH14_Dieu_14_Khoan_2 || ND145_2020_Dieu_17_Khoan_2 || ND145_2020_Phu_Luc_I_Mau_12_PLI_Phan_01 || ND145_2020_Dieu_20_Khoan_1 || 45_2019_QH14_Dieu_13_Khoan_2 || 45_2019_QH14_Dieu_22_Khoan_1 || ND145_2020_Phu_Luc_I_Mau_02_PLI_Phan_01 || 45_2019_QH14_Dieu_13_Khoan_1 || 45_2019_QH14_Dieu_20_Khoan_1_Diem_a_b
hybrid_only,contract_types,Co may loai hop dong lao dong theo Bo luat Lao dong 2019?,direct_qa,loai hop dong lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 2, các điểm a, b, c || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 13 (Hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 3 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 13 (Hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 2",45_2019_QH14_Dieu_20_Khoan_1_Diem_a_b || 45_2019_QH14_Dieu_22_Khoan_1 || 45_2019_QH14_Dieu_20_Khoan_2_Diem_a_b_c || 45_2019_QH14_Dieu_17_Khoan_1 || 45_2019_QH14_Dieu_22_Khoan_2 || 45_2019_QH14_Dieu_13_Khoan_2 || 45_2019_QH14_Dieu_17_Khoan_3 || 45_2019_QH14_Dieu_17_Khoan_2 || 45_2019_QH14_Dieu_13_Khoan_1 || 45_2019_QH14_Dieu_14_Khoan_2
hybrid_only,contract_fixed_vs_indefinite,So sanh hop dong xac dinh thoi han va khong xac dinh thoi han.,comparison_qa,loai hop dong lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b || Nghị định 145/2020/NĐ-CP, Điều 17 (Quản lý tiền ký quỹ), khoản 2 || Nghị định 145/2020/NĐ-CP, Điều 17 (Quản lý tiền ký quỹ), khoản 1 || Nghị định 145/2020/NĐ-CP, Điều 17 (Quản lý tiền ký quỹ), khoản 3 || Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 2, các điểm a, b, c || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 1 || Nghị định 145/2020/NĐ-CP, Mẫu số 02/PLI || Nghị định 145/2020/NĐ-CP, Mẫu số 12/PLIN || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 1",45_2019_QH14_Dieu_20_Khoan_1_Diem_a_b || ND145_2020_Dieu_17_Khoan_2 || ND145_2020_Dieu_17_Khoan_1 || ND145_2020_Dieu_17_Khoan_3 || 45_2019_QH14_Dieu_20_Khoan_2_Diem_a_b_c || 45_2019_QH14_Dieu_22_Khoan_1 || ND145_2020_Phu_Luc_I_Mau_02_PLI_Phan_01 || ND145_2020_Phu_Luc_I_Mau_12_PLI_Phan_01 || 45_2019_QH14_Dieu_22_Khoan_2 || 45_2019_QH14_Dieu_17_Khoan_1
hybrid_only,contract_content,Hop dong lao dong can co nhung noi dung chu yeu nao?,direct_qa,noi dung hop dong lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 1, các điểm a, b, c, d, đ, e, g, h, i, k || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 1, điểm a || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 1, các điểm b, c || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 2, các điểm a, b, c || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động)",45_2019_QH14_Dieu_21_Khoan_1_Diem_a_b_c_d_dd_e_g_h_i_k || TT10_2020_Dieu_3_Khoan_1_Diem_a || TT10_2020_Dieu_3_Khoan_1_Diem_b_c || TT10_2020_Dieu_3_Khoan_2_Diem_a_b_c || TT10_2020_Dieu_3_Intro
hybrid_only,contract_content_guidance,Noi dung hop dong lao dong duoc Thong tu 10 huong dan chi tiet nhu the nao?,document_guidance_qa,noi dung hop dong lao dong,1.0,1.0,False,True,,,"Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 1, các điểm a, b, c, d, đ, e, g, h, i, k || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động) || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 1, điểm a || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 1, các điểm b, c || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 2, các điểm a, b, c",45_2019_QH14_Dieu_21_Khoan_1_Diem_a_b_c_d_dd_e_g_h_i_k || TT10_2020_Dieu_3_Intro || TT10_2020_Dieu_3_Khoan_1_Diem_a || TT10_2020_Dieu_3_Khoan_1_Diem_b_c || TT10_2020_Dieu_3_Khoan_2_Diem_a_b_c
