id,user_input,faithfulness,answer_relevancy,answer_correctness,factual_correctness,context_precision,context_recall,legal_correctness,citation_correctness,legal_completeness,legal_safety,legal_overall_score,error_type,explanation,overall_avg,judge_model,ragas_judge_model,legal_judge_model,mode,error
LBR_004,Hợp đồng lao động là gì?,0.5384615384615384,0.7915991338418741,,,0.9999999999,1.0,,,,,,,,0.832515,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
<hr><center>nginx/1.24.0 (Ubuntu)</center>
</body>
</html>"
LBR_006,Có mấy loại hợp đồng lao động theo Bộ luật Lao động 2019?,1.0,0.5641921354694612,,,0.9999999999,1.0,,,,,,,,0.891048,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,legal_judge_failed: Legal judge output contains invalid JSON.
LBR_009,Hợp đồng lao động phải được lập thành mấy bản?,0.6923076923076923,0.8674167236701755,,,0.9999999999,1.0,,,,,,,,0.889931,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
<hr><center>nginx/1.24.0 (Ubuntu)</center>
</body>
</html>"
LBR_011,Nội dung chủ yếu của hợp đồng lao động gồm những nội dung nào?,0.7857142857142857,0.8029061217971698,,,0.9999999999,1.0,,,,,,,,0.897155,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
<hr><center>nginx/1.24.0 (Ubuntu)</center>
</body>
</html>"
LBR_012,Thời gian thử việc tối đa đối với công việc cần trình độ cao đẳng trở lên là bao lâu?,1.0,0.9571325995925887,,,0.9999999999,1.0,,,,,,,,0.989283,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,legal_judge_failed: Legal judge output contains invalid JSON.
LBR_013,Tiền lương thử việc tối thiểu bằng bao nhiêu phần trăm lương của công việc đó?,1.0,0.6406543294445782,,,0.9999999999,1.0,,,,,,,,0.910164,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,legal_judge_failed: Legal judge output contains invalid JSON.
LBR_016,Người sử dụng lao động có được giữ bản chính giấy tờ tùy thân của người lao động không?,0.4,0.9059157658806846,,,0.9999999999,1.0,,,,,,,,0.826479,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,legal_judge_failed: Legal judge output contains invalid JSON.
LBR_017,Thời giờ làm việc bình thường tối đa theo ngày và theo tuần là bao nhiêu?,0.8333333333333334,0.8436196814291702,,,0.7499999999625,1.0,,,,,,,,0.856738,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
<hr><center>nginx/1.24.0 (Ubuntu)</center>
</body>
</html>"
LBR_018,Giờ làm việc ban đêm được tính từ mấy giờ đến mấy giờ?,0.6666666666666666,0.9061974884731484,,,0.9999999999,1.0,,,,,,,,0.893216,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
<hr><center>nginx/1.24.0 (Ubuntu)</center>
</body>
</html>"
LBR_028,Hãy trình bày các mức thời gian thử việc theo từng loại công việc.,0.8333333333333334,0.7458044441890584,,,0.9999999999,1.0,,,,,,,,0.894784,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
<hr><center>nginx/1.24.0 (Ubuntu)</center>
</body>
</html>"
LBR_032,Hãy lập bảng thời hạn báo trước khi người lao động đơn phương chấm dứt HĐLĐ theo từng loại hợp đồng.,0.6086956521739131,0.8055711021324247,,,0.5833333333041666,0.5,,,,,,,,0.6244,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
<hr><center>nginx/1.24.0 (Ubuntu)</center>
</body>
</html>"
LBR_033,Hãy lập bảng thời hạn báo trước khi người sử dụng lao động đơn phương chấm dứt HĐLĐ theo từng loại hợp đồng.,0.6,0.8069325991635852,,,0.0,0.3333333333333333,,,,,,,,0.435066,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: Error code: 400 - {'error': {'message': 'Budget has been exceeded! Team=282c477e-a4e0-4389-943b-928049e07592 Current cost: 10.2459188, Max budget: 10.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}"
LBR_037,Hãy hệ thống hóa điều kiện để người sử dụng lao động được huy động người lao động làm thêm giờ.,0.6875,0.7736805841647948,,,0.49999999995,1.0,,,,,,,,0.740295,gpt-5.4-pro,gpt-5.4-nano,gpt-5.4-pro,full,"legal_judge_failed: Error code: 400 - {'error': {'message': 'Budget has been exceeded! Team=282c477e-a4e0-4389-943b-928049e07592 Current cost: 10.2459188, Max budget: 10.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}"
