id,category,topic,difficulty,requires_graph,requires_normative_hierarchy,query,end_to_end_passed,retrieval_passed,answer_passed,citation_grounding_passed,answer_faithfulness_passed,final_quality_score,answer_completeness_score,required_citation_coverage,required_citations_found,missing_required_citations,forbidden_citation_violations,retrieval_source_distribution,graph_expansion_used,graph_depth,graph_edge_types,citation_validation_passed,quality_validation_passed,unsupported_article_numbers,unretrieved_citations,low_information_quotes_count,legal_claim_citation_coverage,no_article_title_only_answer,insufficient_context_handled,failure_reasons,top3_citations
def_employee,definition_qa,khai niem nguoi lao dong,easy,False,False,Nguoi lao dong duoc dinh nghia nhu the nao theo Bo luat Lao dong 2019?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 3 khoan 1,,,"{""hybrid"": 1, ""vector"": 1}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 1 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ)"
def_employer,definition_qa,khai niem nguoi su dung lao dong,easy,False,False,Nguoi su dung lao dong la gi theo Bo luat Lao dong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 3 khoan 2,,,"{""hybrid"": 1, ""vector"": 1}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 2 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ)"
def_employee_representative_org,definition_qa,khai niem to chuc dai dien nguoi lao dong,easy,False,False,To chuc dai dien nguoi lao dong tai co so la gi?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 3 khoan 3,,,"{""hybrid"": 1, ""vector"": 7}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 3 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ) || Nghị định 135/2020/NĐ-CP, Điều 8 (Hiệu lực thi hành), khoản 2, các điểm a, b, c"
def_labor_relationship,definition_qa,khai niem quan he lao dong,easy,False,False,Quan he lao dong duoc hieu nhu the nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 3 khoan 5,,,"{""vector"": 5}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ), khoản 5 || Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ) || Nghị định 135/2020/NĐ-CP, Điều 8 (Hiệu lực thi hành), khoản 2, các điểm a, b, c"
contract_definition,definition_qa,khai niem hop dong lao dong,easy,False,False,Hop dong lao dong la gi?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 13 khoan 1,,,"{""graph"": 1, ""vector"": 9}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ) || Bộ luật Lao động 2019, Điều 13 (Hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 13 (Hợp đồng lao động), khoản 2"
contract_form,direct_qa,hinh thuc hop dong lao dong,medium,False,False,Hop dong lao dong co bat buoc phai lap bang van ban khong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 14,,,"{""hybrid"": 2, ""vector"": 8}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 2 || Nghị định 145/2020/NĐ-CP, Điều 17 (Quản lý tiền ký quỹ), khoản 2"
contract_types,direct_qa,loai hop dong lao dong,easy,False,False,Co may loai hop dong lao dong theo Bo luat Lao dong 2019?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 20 khoan 1,,,"{""vector"": 6, ""hybrid"": 2, ""graph"": 1}",True,4,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b || Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 1, các điểm a, b, c, d, đ, e, g, h, i, k || Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 2"
contract_fixed_vs_indefinite,comparison_qa,loai hop dong lao dong,medium,False,False,So sanh hop dong xac dinh thoi han va khong xac dinh thoi han.,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 20 khoan 1,,,"{""vector"": 7, ""graph"": 3}",True,4,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b || Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 1, các điểm a, b, c, d, đ, e, g, h, i, k || Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 2"
contract_content,direct_qa,noi dung hop dong lao dong,medium,True,True,Hop dong lao dong can co nhung noi dung chu yeu nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 21 khoan 1 || TT10 Dieu 3,,,"{""hybrid"": 4, ""vector"": 1}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 1, các điểm a, b, c, d, đ, e, g, h, i, k || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 1, điểm a || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 1, các điểm b, c"
contract_content_guidance,document_guidance_qa,noi dung hop dong lao dong,hard,True,True,Noi dung hop dong lao dong duoc Thong tu 10 huong dan chi tiet nhu the nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 21 || TT10 Dieu 3,,,"{""hybrid"": 4, ""vector"": 1}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 21 (Nội dung hợp đồng lao động), khoản 1, các điểm a, b, c, d, đ, e, g, h, i, k || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động) || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động), khoản 1, điểm a"
