id,query,category,mode,recall_at_5,recall_at_10,precision_at_5,precision_at_10,mrr,hit_rate_at_5,hit_rate_at_10,required_citation_coverage,forbidden_citation_violation,forbidden_citation_labels,citation_order_violation,citation_order_labels,first_required_rank,average_rank_of_first_required_citation,document_count,graph_expanded_chunks,graph_hit_ratio,direct_vector_hit_ratio,average_graph_depth,top1_citation,top3_citations,top10_citations,top10_chunk_ids
strict_minor_worker_14,Người 14 tuổi có được làm việc không?,direct_qa,vector_only,0.5,0.75,1.0,0.8,1.0,True,True,0.75,False,,False,,1,1.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 3","Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 3 || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 2 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 2","Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 3 || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 2 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 2 || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 4 || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 1 || Bộ luật Lao động 2019, Điều 147 (Công việc và nơi làm việc cấm sử dụng người lao động từ đủ 15 tuổi đến chưa đủ 18 tuổi), khoản 2, các điểm a, b, c, d, đ || Bộ luật Lao động 2019, Điều 146 (Thời giờ làm việc của người chưa thành niên), khoản 2 || Bộ luật Lao động 2019, Điều 147 (Công việc và nơi làm việc cấm sử dụng người lao động từ đủ 15 tuổi đến chưa đủ 18 tuổi), khoản 1, các điểm a, b, c, d, đ, e, g, h || Bộ luật Lao động 2019, Điều 146 (Thời giờ làm việc của người chưa thành niên), khoản 1 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 1, các điểm a, b, c, d",45_2019_QH14_Dieu_143_Khoan_3 || 45_2019_QH14_Dieu_143_Khoan_2 || 45_2019_QH14_Dieu_145_Khoan_2 || 45_2019_QH14_Dieu_143_Khoan_4 || 45_2019_QH14_Dieu_143_Khoan_1 || 45_2019_QH14_Dieu_147_Khoan_2_Diem_a_b_c_d_dd || 45_2019_QH14_Dieu_146_Khoan_2 || 45_2019_QH14_Dieu_147_Khoan_1_Diem_a_b_c_d_dd_e_g_h || 45_2019_QH14_Dieu_146_Khoan_1 || 45_2019_QH14_Dieu_145_Khoan_1_Diem_a_b_c_d
strict_minor_worker_under_15_conditions,Người chưa đủ 15 tuổi làm việc cần điều kiện gì?,procedure_qa,vector_only,0.3333333333333333,0.6666666666666666,0.2,0.4,0.5,True,True,0.6666666666666666,False,,False,,2,2.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 2","Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 2 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 2 || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 3","Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 2 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 2 || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 3 || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 4 || Bộ luật Lao động 2019, Điều 143 (Lao động chưa thành niên), khoản 1 || Bộ luật Lao động 2019, Điều 147 (Công việc và nơi làm việc cấm sử dụng người lao động từ đủ 15 tuổi đến chưa đủ 18 tuổi), khoản 2, các điểm a, b, c, d, đ || Bộ luật Lao động 2019, Điều 146 (Thời giờ làm việc của người chưa thành niên), khoản 2 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 3 || Bộ luật Lao động 2019, Điều 145 (Sử dụng người chưa đủ 15 tuổi làm việc), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 147 (Công việc và nơi làm việc cấm sử dụng người lao động từ đủ 15 tuổi đến chưa đủ 18 tuổi), khoản 1, các điểm a, b, c, d, đ, e, g, h",45_2019_QH14_Dieu_143_Khoan_2 || 45_2019_QH14_Dieu_145_Khoan_2 || 45_2019_QH14_Dieu_143_Khoan_3 || 45_2019_QH14_Dieu_143_Khoan_4 || 45_2019_QH14_Dieu_143_Khoan_1 || 45_2019_QH14_Dieu_147_Khoan_2_Diem_a_b_c_d_dd || 45_2019_QH14_Dieu_146_Khoan_2 || 45_2019_QH14_Dieu_145_Khoan_3 || 45_2019_QH14_Dieu_145_Khoan_1_Diem_a_b_c_d || 45_2019_QH14_Dieu_147_Khoan_1_Diem_a_b_c_d_dd_e_g_h
strict_retirement_age_2026_woman,Nữ nghỉ hưu năm 2026 thì bao nhiêu tuổi?,scenario_based_qa,vector_only,0.6666666666666666,0.6666666666666666,0.4,0.3,1.0,True,True,0.6666666666666666,False,,False,,1,1.0,2,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 169 (Tuổi nghỉ hưu), khoản 2","Bộ luật Lao động 2019, Điều 169 (Tuổi nghỉ hưu), khoản 2 || Nghị định 135/2020/NĐ-CP, Điều 4 (Tuổi nghỉ hưu trong điều kiện lao động bình thường) || Nghị định 135/2020/NĐ-CP, Điều 7 (Quy định chuyển tiếp), khoản 3, điểm a","Bộ luật Lao động 2019, Điều 169 (Tuổi nghỉ hưu), khoản 2 || Nghị định 135/2020/NĐ-CP, Điều 4 (Tuổi nghỉ hưu trong điều kiện lao động bình thường) || Nghị định 135/2020/NĐ-CP, Điều 7 (Quy định chuyển tiếp), khoản 3, điểm a || Nghị định 135/2020/NĐ-CP, Điều 5 (Nghỉ hưu ở tuổi thấp hơn tuổi nghỉ hưu trong điều kiện lao động bình thường) || Nghị định 135/2020/NĐ-CP, Điều 7 (Quy định chuyển tiếp), khoản 3, điểm a || Nghị định 135/2020/NĐ-CP, Điều 7 (Quy định chuyển tiếp), khoản 3, điểm b || Nghị định 135/2020/NĐ-CP, Điều 6 (Nghỉ hưu ở tuổi cao hơn tuổi nghỉ hưu trong điều kiện lao động bình thường) || Bộ luật Lao động 2019, Điều 169 (Tuổi nghỉ hưu), khoản 4 || Nghị định 135/2020/NĐ-CP, Điều 3 (Thời điểm nghỉ hưu và thời điểm hưởng chế độ hưu trí), khoản 3",45_2019_QH14_Dieu_169_Khoan_2 || ND135_2020_Dieu_4_Intro || ND135_2020_Dieu_7_Khoan_3_Diem_a_Chunk_04 || ND135_2020_Dieu_5_Intro || ND135_2020_Dieu_7_Khoan_3_Diem_a || ND135_2020_Dieu_7_Khoan_3_Diem_b || ND135_2020_Dieu_6_Intro || 45_2019_QH14_Dieu_169_Khoan_4 || ND135_2020_Dieu_3_Khoan_3
strict_labor_contract_content,Hợp đồng lao động cần có những nội dung gì?,direct_qa,vector_only,0.5,0.5,0.2,0.1,0.25,True,True,0.5,False,,False,,4,4.0,3,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 1","Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 7","Bộ luật Lao động 2019, Điều 14 (Hình thức hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 7 || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động) || Bộ luật Lao động 2019, Điều 61 (Học nghề, tập nghề để làm việc cho người sử dụng lao động), khoản 6 || Bộ luật Lao động 2019, Điều 79 (Thực hiện thỏa ước lao động tập thể tại doanh nghiệp), khoản 2 || Nghị định 145/2020/NĐ-CP, Điều 11 (Xử lý hợp đồng lao động vô hiệu toàn bộ do toàn bộ nội dung của hợp đồng lao động vi phạm pháp luật hoặc công việc đã giao kết trong hợp đồng lao động là công việc mà pháp luật cầm), khoản 2 || Bộ luật Lao động 2019, Điều 177 (Nghĩa vụ của người sử dụng lao động đối với tổ chức đại diện người lao động tại cơ sở), khoản 4 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 1",45_2019_QH14_Dieu_14_Khoan_1 || 45_2019_QH14_Dieu_22_Khoan_1 || 45_2019_QH14_Dieu_178_Khoan_7 || TT10_2020_Dieu_3_Intro || 45_2019_QH14_Dieu_61_Khoan_6 || 45_2019_QH14_Dieu_79_Khoan_2 || ND145_2020_Dieu_11_Khoan_2 || 45_2019_QH14_Dieu_177_Khoan_4 || 45_2019_QH14_Dieu_178_Khoan_1
strict_dismissal_dispute_mediation_before_lawsuit,Tranh chấp sa thải có cần hòa giải trước khi kiện không?,procedure_qa,vector_only,0.3333333333333333,0.3333333333333333,0.2,0.1,1.0,True,True,0.3333333333333333,False,,False,,1,1.0,3,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 190 (Thời hiệu yêu cầu giải quyết tranh chấp lao động cá nhân), khoản 3","Bộ luật Lao động 2019, Điều 190 (Thời hiệu yêu cầu giải quyết tranh chấp lao động cá nhân), khoản 3 || Nghị định 145/2020/NĐ-CP, Điều 98 (Tiêu chuẩn, điều kiện trọng tài viên lao động), khoản 3 || Bộ luật Tố tụng dân sự 2015 - phần liên quan lao động, Điều 352 (Căn cứ để kháng nghị theo thủ tục tái thẩm)","Bộ luật Lao động 2019, Điều 190 (Thời hiệu yêu cầu giải quyết tranh chấp lao động cá nhân), khoản 3 || Nghị định 145/2020/NĐ-CP, Điều 98 (Tiêu chuẩn, điều kiện trọng tài viên lao động), khoản 3 || Bộ luật Tố tụng dân sự 2015 - phần liên quan lao động, Điều 352 (Căn cứ để kháng nghị theo thủ tục tái thẩm) || Nghị định 145/2020/NĐ-CP, Điều 92 (Tiêu chuẩn hòa giải viên lao động), khoản 3 || Bộ luật Tố tụng dân sự 2015 - phần liên quan lao động, Điều 317 (Điều kiện áp dụng thủ tục rút gọn), khoản 4 || Bộ luật Tố tụng dân sự 2015 - phần liên quan lao động, Điều 482 (Những bản án, quyết định của Tòa án được thi hành), khoản 2, các điểm a, b || Bộ luật Tố tụng dân sự 2015 - phần liên quan lao động, Điều 119 (Tạm đình chỉ thi hành quyết định đơn phương chấm dứt hợp đồng lao động, quyết định sa thải người lao động) || Bộ luật Tố tụng dân sự 2015 - phần liên quan lao động, Điều 410 (Thủ tục giải quyết đơn yêu cầu xét tính hợp pháp của cuộc đình công), khoản 2",45_2019_QH14_Dieu_190_Khoan_3 || ND145_2020_Dieu_98_Khoan_3 || BLTTDS_2015_Dieu_352_Intro || ND145_2020_Dieu_92_Khoan_3 || BLTTDS_2015_Dieu_317_Khoan_4 || BLTTDS_2015_Dieu_482_Khoan_2_Diem_a_b || BLTTDS_2015_Dieu_119 || BLTTDS_2015_Dieu_410_Khoan_2
strict_employee_unlawful_unilateral_termination,Người lao động đơn phương chấm dứt hợp đồng trái luật thì phải bồi thường gì?,scenario_based_qa,vector_only,0.3333333333333333,0.6666666666666666,0.4,0.4,1.0,True,True,0.5,False,,False,,1,1.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 2","Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 2 || Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 3 || Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 1","Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 2 || Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 3 || Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 1 || Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 2 || Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 1 || Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 3 || Bộ luật Lao động 2019, Điều 39 (Đơn phương chấm dứt hợp đồng lao động trái pháp luật) || Bộ luật Lao động 2019, Điều 37 (Trường hợp người sử dụng lao động không được thực hiện quyền đơn phương chấm dứt hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 37 (Trường hợp người sử dụng lao động không được thực hiện quyền đơn phương chấm dứt hợp đồng lao động), khoản 3 || Bộ luật Lao động 2019, Điều 36 (Quyền đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động), khoản 3",45_2019_QH14_Dieu_40_Khoan_2 || 45_2019_QH14_Dieu_41_Khoan_3 || 45_2019_QH14_Dieu_41_Khoan_1 || 45_2019_QH14_Dieu_41_Khoan_2 || 45_2019_QH14_Dieu_40_Khoan_1 || 45_2019_QH14_Dieu_40_Khoan_3 || 45_2019_QH14_Dieu_39 || 45_2019_QH14_Dieu_37_Khoan_1 || 45_2019_QH14_Dieu_37_Khoan_3 || 45_2019_QH14_Dieu_36_Khoan_3
strict_structural_change_job_loss_allowance,Công ty thay đổi cơ cấu thì phải trả trợ cấp gì?,scenario_based_qa,vector_only,0.6666666666666666,0.6666666666666666,1.0,0.6,1.0,True,True,0.6666666666666666,False,,False,,1,1.0,2,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 42 (Nghĩa vụ của người sử dụng lao động trong trường hợp thay đổi cơ cấu, công nghệ hoặc vì lý do kinh tế), khoản 1, các điểm a, b, c","Bộ luật Lao động 2019, Điều 42 (Nghĩa vụ của người sử dụng lao động trong trường hợp thay đổi cơ cấu, công nghệ hoặc vì lý do kinh tế), khoản 1, các điểm a, b, c || Nghị định 145/2020/NĐ-CP, Điều 8 (Trợ cầp thôi việc, trợ cấp mất việc làm), khoản 4, điểm b || Nghị định 145/2020/NĐ-CP, Điều 8 (Trợ cầp thôi việc, trợ cấp mất việc làm), khoản 6","Bộ luật Lao động 2019, Điều 42 (Nghĩa vụ của người sử dụng lao động trong trường hợp thay đổi cơ cấu, công nghệ hoặc vì lý do kinh tế), khoản 1, các điểm a, b, c || Nghị định 145/2020/NĐ-CP, Điều 8 (Trợ cầp thôi việc, trợ cấp mất việc làm), khoản 4, điểm b || Nghị định 145/2020/NĐ-CP, Điều 8 (Trợ cầp thôi việc, trợ cấp mất việc làm), khoản 6 || Nghị định 145/2020/NĐ-CP, Điều 8 (Trợ cầp thôi việc, trợ cấp mất việc làm), khoản 1, các điểm a, b || Nghị định 145/2020/NĐ-CP, Điều 8 (Trợ cầp thôi việc, trợ cấp mất việc làm), khoản 2 || Nghị định 145/2020/NĐ-CP, Điều 8 (Trợ cầp thôi việc, trợ cấp mất việc làm), khoản 3, điểm a || Bộ luật Lao động 2019, Điều 67 (Nội dung thương lượng tập thể) || Bộ luật Lao động 2019, Điều 67 (Nội dung thương lượng tập thể), khoản 2 || Bộ luật Lao động 2019, Điều 67 (Nội dung thương lượng tập thể), khoản 3 || Bộ luật Lao động 2019, Điều 67 (Nội dung thương lượng tập thể), khoản 4",45_2019_QH14_Dieu_42_Khoan_1_Diem_a_b_c || ND145_2020_Dieu_8_Khoan_4_Diem_b_Chunk_09 || ND145_2020_Dieu_8_Khoan_6 || ND145_2020_Dieu_8_Khoan_1_Diem_a_b || ND145_2020_Dieu_8_Khoan_2 || ND145_2020_Dieu_8_Khoan_3_Diem_a || 45_2019_QH14_Dieu_67_Intro || 45_2019_QH14_Dieu_67_Khoan_2 || 45_2019_QH14_Dieu_67_Khoan_3 || 45_2019_QH14_Dieu_67_Khoan_4
strict_no_notice_resignation,Khi nào người lao động được nghỉ việc không cần báo trước?,exception_based_qa,vector_only,0.5,0.5,0.2,0.1,1.0,True,True,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d","Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 2 || Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 1","Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 2 || Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 1 || Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 3 || Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 4 || Bộ luật Lao động 2019, Điều 205 (Thông báo quyết định đóng cửa tạm thời nơi làm việc) || Bộ luật Lao động 2019, Điều 128 (Tạm đình chỉ công việc), khoản 2 || Bộ luật Lao động 2019, Điều 128 (Tạm đình chỉ công việc), khoản 1 || Bộ luật Lao động 2019, Điều 128 (Tạm đình chỉ công việc), khoản 3 || Bộ luật Lao động 2019, Điều 128 (Tạm đình chỉ công việc), khoản 4",45_2019_QH14_Dieu_35_Khoan_1_Diem_a_b_c_d || 45_2019_QH14_Dieu_46_Khoan_2 || 45_2019_QH14_Dieu_46_Khoan_1 || 45_2019_QH14_Dieu_46_Khoan_3 || 45_2019_QH14_Dieu_46_Khoan_4 || 45_2019_QH14_Dieu_205_Intro || 45_2019_QH14_Dieu_128_Khoan_2 || 45_2019_QH14_Dieu_128_Khoan_1 || 45_2019_QH14_Dieu_128_Khoan_3 || 45_2019_QH14_Dieu_128_Khoan_4
extra_employee_definition,Người lao động được định nghĩa như thế nào theo Bộ luật Lao động 2019?,direct_qa,vector_only,0.5,0.5,0.2,0.1,1.0,True,True,0.0,False,,False,,0,0.0,1,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ)","Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ) || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 1 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 2","Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ) || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 1 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 2 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 3 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 6 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 5 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 7 || Bộ luật Lao động 2019, Điều 178 (Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động), khoản 8 || Bộ luật Lao động 2019, Điều 96 (Hình thức trả lương), khoản 1 || Bộ luật Lao động 2019, Điều 96 (Hình thức trả lương), khoản 2",45_2019_QH14_Dieu_3_Intro || 45_2019_QH14_Dieu_178_Khoan_1 || 45_2019_QH14_Dieu_178_Khoan_2 || 45_2019_QH14_Dieu_178_Khoan_3 || 45_2019_QH14_Dieu_178_Khoan_6 || 45_2019_QH14_Dieu_178_Khoan_5 || 45_2019_QH14_Dieu_178_Khoan_7 || 45_2019_QH14_Dieu_178_Khoan_8 || 45_2019_QH14_Dieu_96_Khoan_1 || 45_2019_QH14_Dieu_96_Khoan_2
extra_contract_type_comparison,So sánh hợp đồng lao động xác định thời hạn và không xác định thời hạn?,comparison_qa,vector_only,1.0,1.0,0.2,0.1,1.0,True,True,1.0,False,,False,,1,1.0,3,0,0.0,1.0,0.0,"Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b","Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b || Bộ luật Lao động 2019, Điều 29 (Chuyển người lao động làm công việc khác so với hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 29 (Chuyển người lao động làm công việc khác so với hợp đồng lao động), khoản 1","Bộ luật Lao động 2019, Điều 20 (Loại hợp đồng lao động), khoản 1, các điểm a, b || Bộ luật Lao động 2019, Điều 29 (Chuyển người lao động làm công việc khác so với hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 29 (Chuyển người lao động làm công việc khác so với hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 29 (Chuyển người lao động làm công việc khác so với hợp đồng lao động), khoản 3 || Bộ luật Lao động 2019, Điều 29 (Chuyển người lao động làm công việc khác so với hợp đồng lao động), khoản 4 || Thông tư 10/2020/TT-BLĐTBXH, Điều 3 (Nội dung chủ yếu của hợp đồng lao động) || Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d || Nghị định 145/2020/NĐ-CP, Điều 7 (Thời hạn báo trước khi đơn phương chấm dứt hợp đồng lao động đối với một số ngành, nghề, công việc đặc thù) || Bộ luật Lao động 2019, Điều 25 (Thời gian thử việc) || Bộ luật Lao động 2019, Điều 33 (Sửa đổi, bổ sung hợp đồng lao động), khoản 1",45_2019_QH14_Dieu_20_Khoan_1_Diem_a_b || 45_2019_QH14_Dieu_29_Khoan_2 || 45_2019_QH14_Dieu_29_Khoan_1 || 45_2019_QH14_Dieu_29_Khoan_3 || 45_2019_QH14_Dieu_29_Khoan_4 || TT10_2020_Dieu_3_Intro || 45_2019_QH14_Dieu_35_Khoan_1_Diem_a_b_c_d || ND145_2020_Dieu_7_Intro || 45_2019_QH14_Dieu_25_Intro || 45_2019_QH14_Dieu_33_Khoan_1
